item_id,recommend,sentiment_analysis,year,developer
1250,True,2,2011,Tripwire Interactive
22200,True,2,2011,ACE Team
43110,True,2,2011,
251610,True,2,2014,
248820,True,2,2023,"Hopoo Games, LLC"
370360,True,2,2015,Zachtronics
237930,True,2,2014,Supergiant Games
107200,True,2,2014,MinMax Games Ltd.
224500,True,2,2014,Robotronic Games
250320,True,2,2013,Telltale Games
20920,True,2,2012,CD PROJEKT RED
204100,True,2,2012,Rockstar Studios
224600,True,2,2014,"Trion Worlds, Inc."
108710,True,2,2012,Remedy Entertainment
211820,True,2,2013,Chucklefish
730,True,2,2014,Valve
204300,True,2,2013,Ronimo Games
220,True,2,2012,Valve
252950,True,2,2023,"Psyonix, Inc."
304930,True,2,2014,Smartly Dressed Games
232090,True,2,2015,Tripwire Interactive
1250,True,2,2015,Tripwire Interactive
4000,True,2,2014,Facepunch Studios
570,True,2,2013,
218620,True,2,2015,
224260,True,2,2013,No More Room in Hell Team
1250,True,2,2013,Tripwire Interactive
730,True,2,2015,Valve
440,True,2,2014,Valve
49520,True,2,2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
220200,True,2,2015,Squad
211820,True,2,2014,Chucklefish
440,True,2,2014,Valve
550,True,2,2015,Valve
220,True,2,2023,Valve
238090,True,2,2015,Rebellion
277430,True,2,2014,"Vanguard Games,343 Industries"
4000,True,2,2023,Facepunch Studios
33930,True,2,2013,Bohemia Interactive
219640,True,2,2015,Torn Banner Studios
287980,True,2,2015,Dinosaur Polo Club
218620,True,2,2023,
242700,True,2,2014,"NetherRealm Studios,High Voltage Software"
221100,True,2,2015,Bohemia Interactive
331470,True,2,2014,Soviet Games
4000,True,2,2014,Facepunch Studios
323370,True,2,2023,"Bluehole, Inc."
304930,True,2,2014,Smartly Dressed Games
12210,True,2,2015,
48700,True,2,2014,TaleWorlds Entertainment
238460,True,2,2023,The Behemoth
34900,True,2,2023,Invent4 Entertainment
730,True,2,2015,Valve
440,True,2,2014,Valve
570,True,2,2015,
231180,True,2,2013,
620,True,2,2012,Valve
271290,True,2,2023,
4000,True,2,2023,Facepunch Studios
317360,True,2,2023,Double Action Factory
299360,True,2,2015,"Jagex,Artplant"
322330,True,2,2015,Klei Entertainment
224260,True,2,2013,No More Room in Hell Team
440,True,2,2012,Valve
440,True,2,2015,Valve
1840,True,2,2015,Valve
440,True,2,2013,Valve
440,True,2,2015,Valve
449140,True,2,2023,treeform
427270,True,2,2023,Robot Entertainment
397100,True,2,2023,G2CREW
376920,True,2,2015,Anarchy Enterprises
2280,True,2,2013,id Software
218620,True,2,2014,
218620,True,2,2014,
377160,True,2,2015,Bethesda Game Studios
211820,True,2,2013,Chucklefish
252490,True,2,2015,Facepunch Studios
440,True,2,2014,Valve
242920,True,2,2023,Shining Rock Software LLC
251990,True,2,2014,Hanako Games
399730,True,2,2015,"Psyonix, Inc."
550,True,2,2023,Valve
377160,True,2,2015,Bethesda Game Studios
219150,True,2,2013,Dennaton Games
277430,True,2,2014,"Vanguard Games,343 Industries"
239820,True,2,2014,Greenheart Games
17410,True,2,2012,DICE
440,True,2,2015,Valve
270550,True,2,2015,Awesome Games Studio
274940,True,2,2015,Digital Confectioners
440,True,2,2014,Valve
730,True,2,2014,Valve
212070,True,2,2014,Star Gem Inc.
264140,True,2,2014,Vitali Kirpu
319630,True,2,2015,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
55230,True,2,2015,Volition
32430,True,2,2014,"LucasArts,Aspyr Studios"
35450,True,2,2015,Tripwire Interactive
440,True,2,2014,Valve
236390,True,2,2015,
351570,True,2,2015,
550,True,2,2014,Valve
440,True,2,2014,Valve
72850,True,2,2015,
200510,True,2,2015,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
730,True,2,2015,Valve
200210,True,2,2023,Wild Shadow Studios
333600,True,2,2015,
213670,True,2,2014,Obsidian Entertainment
91310,True,2,2013,
351640,True,2,2015,Holy Priest
105600,True,2,2012,Re-Logic
440,True,2,2014,Valve
47870,True,2,2013,Criterion Games
383080,True,2,2015,
410,True,2,2012,
730,True,2,2014,Valve
339280,True,2,2015,S2 Games
271290,True,2,2014,
203290,True,2,2013,U.S. Army
233150,True,2,2014,Vlambeer
730,True,2,2015,Valve
211820,True,2,2013,Chucklefish
440,True,2,2015,Valve
224260,True,2,2015,No More Room in Hell Team
317360,True,2,2014,Double Action Factory
295550,True,2,2014,Katauri
17520,True,2,2014,Synergy Team
113420,True,2,2014,Reloaded Productions
8850,True,2,2015,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
730,True,2,2015,Valve
219740,True,2,2015,
220240,True,2,2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
440,True,2,2012,Valve
4000,True,2,2014,Facepunch Studios
304930,True,2,2014,Smartly Dressed Games
388520,True,2,2015,
221100,True,2,2015,Bohemia Interactive
322170,True,2,2023,RobTop Games
304050,True,2,2023,Trion Worlds
440,True,2,2015,Valve
730,True,2,2015,Valve
362890,True,2,2015,Crowbar Collective
730,True,2,2015,Valve
346110,True,2,2023,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
570,True,2,2014,
311560,True,2,2015,"Ubisoft Sofia,Ubisoft Kiev"
322170,True,2,2015,RobTop Games
440,True,2,2015,Valve
248570,True,2,2014,Nabi Studios
266430,True,2,2015,Elijah Newman-Gomez
316010,True,2,2015,Stainless Games Ltd.
730,True,2,2023,Valve
264200,True,2,2015,Silver Dollar Games
440,True,2,2014,Valve
383080,True,2,2015,
440,True,2,2023,Valve
301520,True,2,2014,Freejam
243870,True,2,2014,
251570,True,2,2015,
221100,True,2,2015,Bohemia Interactive
316010,True,2,2015,Stainless Games Ltd.
218230,True,2,2015,Daybreak Game Company
333930,True,2,2015,Splash Damage
730,True,2,2015,Valve
55230,True,2,2015,Volition
232090,True,2,2015,Tripwire Interactive
206420,True,2,2014,Deep Silver Volition
550,True,2,2013,Valve
346110,True,2,2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
454890,True,2,2023,xXarabongXx
233250,True,2,2015,
273350,True,2,2023,Turtle Rock Studios
730,True,2,2015,Valve
730,True,2,2015,Valve
370480,True,2,2015,Serenity Forge
313740,True,2,2015,
1840,True,2,2014,Valve
440,True,2,2014,Valve
266210,True,2,2015,Smoking WOLF
264200,True,2,2015,Silver Dollar Games
292030,True,2,2023,
310950,True,2,2023,Capcom
333950,True,2,2015,Keen Software House
271590,True,2,2015,Rockstar North
298110,True,2,2015,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
